Status;Title;Ident Code;Criteria C;Criteria;Qualifying;#Qualifyin;Supporting;#Supportin;Region;Region Cod;Location;Location C;Area Squar;Month Subm;Year Submi;Month Clas;Year Class;Month Modi;Year Modif;Details
IMMA;Tolitoli IMMA;28NIOSEA181919IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities;A, C1, C2;Dugong dugon;1;;;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Indonesia;IDN;2467;3;2018;1;2019;1;2019;https://www.marinemammalhabitat.org/portfolio-item/tolitoli/
IMMA;Tongan Archipelago IMMA;18PACISL171717IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C1, D1, D2;Megaptera novaeangliae, Stenella longirostris;2;Physeter macrocephalus, Balaenoptera musculus, Balaenoptera acutorostrata, Balaenoptera bonaerensis, Balaenoptera borealis, Balaenoptera brydei, Kogia sima, Ziphius cavirostris, Globicephala macrorhynchus, Pseudorca crassidens, ...;17;Pacific Islands;PACISL;Tonga;TON;50034;3;2017;10;2017;10;2017;https://www.marinemammalhabitat.org/portfolio-item/tongan-archipelago/
IMMA;Turkish Straits System and Prebosphoric IMMA;13BSCSEA212121IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;A, B2, C2, C3;Delphinus delphis, Phocoena phocoena, Tursiops truncatus;3;;;Black Sea, Turkish Straits System, and Caspian Sea;BSCSEA;Turkey;TUR;11697;2;2021;10;2021;10;2021;https://www.marinemammalhabitat.org/portfolio-item/turkish-straits-system-and-prebosphoric-imma
IMMA;Upper Gulf of California IMMA;34SETTPO222222IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance;A, B1;Phocoena sinus;1;Delphinus delphis, Tursiops truncatus, Pseudorca crassidens, Orcinus orca, Balaenoptera edeni, Balaenoptera physalus, Balaenoptera musculus, Megaptera novaeangliae, Ziphius cavirostris, Zalophus californianus, Eschrichtius robustus, Kogia breviceps;12;South East Tropical and Temperate Pacific Ocean;SETTPO;Mexico;MEX;4054;6;2022;11;2022;11;2022;https://www.marinemammalhabitat.org/portfolio-item/upper-gulf-of-california-imma
IMMA;Vatu-i-Ra IMMA;19PACISL171717IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B1, C1, D2;Megaptera novaeangliae, Stenella longirostris;2;Globicephala macrorhynchus, Physeter macrocephalus, Pseudorca crassidens, Stenella attenuata, Tursiops truncatus, Balaenoptera acutorostrata, Orcinus orca;7;Pacific Islands;PACISL;Fiji;FJI;14293;3;2017;10;2017;10;2017;https://www.marinemammalhabitat.org/portfolio-item/vatu-i-ra/
IMMA;Wakatobi and Adjacent Waters IMMA;29NIOSEA181919IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C2, D2;Physeter macrocephalus, Stenella longirostris;2;Balaenoptera musculus, Ziphius cavirostris, Peponocephala electra, Tursiops truncatus, Grampus griseus, Stenella attenuata, Balaenoptera edeni, Globicephala macrorhynchus, Tursiops aduncus;9;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Indonesia;IDN;26815;3;2018;1;2019;1;2019;https://www.marinemammalhabitat.org/portfolio-item/wakatobi-adjacent-waters/
IMMA;Watamu-Malindi and Watamu Banks IMMA;37WIOCAS191919IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;B1, C3;Tursiops aduncus, Megaptera novaeangliae;2;Sousa plumbea, Stenella longirostris, Globicephala macrorhynchus, Balaenoptera edeni, Orcinus orca, Physeter macrocephalus, Pseudorca crassidens;7;Western Indian Ocean and Arabian Seas;WIOCAS;Kenya;KEN;972;4;2019;12;2019;12;2019;https://www.marinemammalhabitat.org/portfolio-item/watamu-malindi-watamu-banks/
IMMA;Waters of Ischia and Ventotene IMMA;25MEDSEA161717IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities;A, C1, C2;Balaenoptera physalus, Tursiops truncatus, Delphinus delphis;3;Physeter macrocephalus, Grampus griseus, Stenella coeruleoalba;3;Mediterranean;MEDSEA;Italy;ITA;1068;10;2016;5;2017;5;2017;https://www.marinemammalhabitat.org/portfolio-item/waters-ischia-ventotene/
IMMA;Waters of New Caledonia and Loyalty Islands IMMA;20PACISL171717IMMA;Criterion A - Species or Population, Criterion D - Special Attributes;A, D2;Physeter macrocephalus, Megaptera novaeangliae;2;Ziphius cavirostris, Indopacetus pacificus, Globicephala macrorhynchus, Tursiops truncatus, Kogia sima, Kogia breviceps, Grampus griseus, Balaenoptera omurai, Stenella attenuata, Mesoplodon densirostris, Peponocephala electra, ...;18;Pacific Islands;PACISL;New Caledonia;NCL;155056;3;2017;10;2017;10;2017;https://www.marinemammalhabitat.org/portfolio-item/waters-new-caledonia-loyalty-islands/
IMMA;Western Antarctic Peninsula and Islands IMMA;13EXSOOC182022IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B1, B2, C1, C2, D1, D2;Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera bonaerensis, Orcinus orca, Arctocephalus gazella, Mirounga leonina, Hydrurga leptonyx, Lobodon carcinophaga, Leptonychotes weddellii;9;Balaenoptera borealis, Balaenoptera musculus, Balaenoptera acutorostrata, Eubalaena australis, Hyperoodon planifrons, Berardius arnuxii, Lagenorhynchus cruciger;7;Extended Southern Ocean;EXSOOC;Antarctica;ATA;2441313;10;2018;5;2020;11;2022;https://www.marinemammalhabitat.org/portfolio-item/western-antarctic-peninsula-islands/
IMMA;Western Australian Humpback Whale Migration Route IMMA;31ANSEIO202022IMMA;Criterion C - Key Life Cycle Activities;C1, C3;Megaptera novaeangliae;1;Dugong dugon, Orcaella heinsohni, Sousa sahulensis, Stenella longirostris, Tursiops aduncus, Tursiops truncatus, Orcinus orca, Pseudorca crassidens, Balaenoptera musculus, Eubalaena australis, Balaenoptera physalus;11;Australia, New Zealand and Southest Indian Ocean;ANSEIO;Australia;AUS;293110;2;2020;7;2020;11;2022;https://www.marinemammalhabitat.org/portfolio-item/western-australian-humpback-whale-migration-route/
IMMA;Western Baja California Lagoons and Coastal Waters IMMA;35SETTPO222222IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C1, C3;Eschrichtius robustus, Balaenoptera musculus;2;Balaenoptera edeni, Megaptera novaeangliae, Orcinus orca, Tursiops truncatus, Delphinus delphis, Lagenorhynchus obliquidens, Arctocephalus philippii, Zalophus californianus, Mirounga angustirostris, Phoca vitulina;10;South East Tropical and Temperate Pacific Ocean;SETTPO;Mexico;MEX;17834;6;2022;11;2022;11;2022;https://www.marinemammalhabitat.org/portfolio-item/western-baja-california-lagoons-and-coastal-waters-imma
IMMA;Western Black Sea IMMA;14BSCSEA212121IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;A, B2, C2;Phocoena phocoena;1;Delphinus delphis, Tursiops truncatus;2;Black Sea, Turkish Straits System, and Caspian Sea;BSCSEA;Bulgaria, Romania, Turkey;BGR, ROU, TUR;43912;2;2021;10;2021;10;2021;https://www.marinemammalhabitat.org/portfolio-item/western-black-sea-imma
IMMA;Western Lesser Sunda Islands and Sumba Coastal Area IMMA;30NIOSEA181919IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;A, B1, C2;Dugong dugon;1;Stenella longirostris, Stenella attenuata;2;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Indonesia;IDN;759;3;2018;1;2019;1;2019;https://www.marinemammalhabitat.org/portfolio-item/lesser-sunda-sumba-coast/
IMMA;Western Ligurian Sea and Genoa Canyon IMMA;26MEDSEA161718IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;A, B1, B2, C1, C2;Ziphius cavirostris;1;Stenella coeruleoalba, Physeter macrocephalus, Globicephala melas, Balaenoptera physalus, Grampus griseus;5;Mediterranean;MEDSEA;France, Italy;FRA, ITA;8526;10;2016;5;2017;1;2018;https://www.marinemammalhabitat.org/portfolio-item/western-ligurian-sea-genoa-canyon/
IMMA;Western Magellan Strait IMMA;36SETTPO222222IMMA;Criterion C - Key Life Cycle Activities;C2;Megaptera novaeangliae;1;Orcinus orca, Cephalorhynchus eutropia, Lagenorhynchus australis, Phocoena spinipinnis, Balaenoptera borealis, Arctocephalus australis, Otaria byronia, Mirounga leonina, Lontra provocax;9;South East Tropical and Temperate Pacific Ocean;SETTPO;Chile;CHL;2262;6;2022;11;2022;11;2022;https://www.marinemammalhabitat.org/portfolio-item/western-magellan-strait-imma/
IMMA;Yka Ulu IMMA;20SWATLO222323IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;B1, B2, C1, C2, D2;Lagenorhynchus australis, Lagenorhynchus obscurus, Otaria byronia, Arctocephalus australis, Megaptera novaeangliae, Orcinus orca, Lagenorhynchus cruciger, Globicephala melas edwardii, Physeter macrocephalus, Balaenoptera borealis, Balaenoptera physalus, Balaenoptera bonaerensis, Balaenoptera acutorostrata, Mirounga leonina;14;NULL;;South West Atlantic Ocean;SWATLO;Argentina, Chile, Falkland Islands (Malvinas);ARG, CHL, FLK;70106;12;2022;7;2023;7;2023;https://www.marinemammalhabitat.org/portfolio-item/yka-ulu-imma
