Status;Title;Ident Code;Criteria C;Criteria;Qualifying;#Qualifyin;Supporting;#Supportin;Region;Region Cod;Location;Location C;Area Squar;Month Subm;Year Submi;Month Clas;Year Class;Month Modi;Year Modif;Details
IMMA;South Brazil Bight IMMA;19SWATLO222323IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C1, C2, D2;Balaenoptera edeni, Stenella frontalis, Tursiops truncatus, Delphinus delphis, Orcinus orca, Balaenoptera borealis, Megaptera novaeangliae, Physeter macrocephalus, Balaenoptera musculus, Balaenoptera physalus, Balaenoptera bonaerensis, Balaenoptera acutorostrata, Eubalaena australis, Stenella longirostris, Stenella attenuata, Steno bredanensis, Stenella clymene, Sotalia guianensis, Feresa attenuata, Peponocephala electra, Pseudorca crassidens, Globicephala macrorhynchus, Grampus griseus, Kogia sima, Ziphius cavirostris;25;NULL;;South West Atlantic Ocean;SWATLO;Brazil;BRA;118006;12;2022;7;2023;7;2023;https://www.marinemammalhabitat.org/portfolio-item/south-brazil-bight-imma
IMMA;South East African Coastal Migration Corridor IMMA;31WIOCAS191919IMMA;Criterion C - Key Life Cycle Activities;C3;Megaptera novaeangliae;1;Eubalaena australis, Stenella longirostris, Orcinus orca, Tursiops aduncus, Sousa plumbea, Delphinus delphis;6;Western Indian Ocean and Arabian Seas;WIOCAS;South Africa;ZAF;47060;4;2019;12;2019;12;2019;https://www.marinemammalhabitat.org/portfolio-item/south-east-african-coastal-migration-corridor/
IMMA;South Georgia  IMMA;12EXSOOC182020IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;B2, C1, C2, D1;Arctocephalus gazella, Leptonychotes weddellii, Mirounga leonina;3;Hydrurga leptonyx;1;Extended Southern Ocean;EXSOOC;South Georgia and the South Sandwich Islands;SGS;423425;10;2018;5;2020;7;2020;https://www.marinemammalhabitat.org/portfolio-item/south-georgia/
IMMA;South Taranaki Bight IMMA;25ANSEIO202022IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, C1, C2, C3, D1, D2;Cephalorhynchus hectori, Balaenoptera musculus, Arctocephalus forsteri, Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera borealis, Physeter macrocephalus;7;Globicephala melas, Caperea marginata, Tasmacetus shepherdi, Mesoplodon bowdoini, Balaenoptera bonaerensis, Berardius arnuxii, Tursiops truncatus, Balaenoptera edeni, Lobodon carcinophaga, Ziphius cavirostris, Lagenorhynchus obscurus;11;Australia, New Zealand and Southest Indian Ocean;ANSEIO;New Zealand;NZL;47361;2;2020;7;2020;11;2022;https://www.marinemammalhabitat.org/portfolio-item/south-taranaki-bight/
IMMA;South West Madagascar and Mozambique Channel IMMA;32WIOCAS191919IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, C3, D2;Balaenoptera musculus, Balaenoptera bonaerensis, Balaenoptera physalus, Physeter macrocephalus, Sousa plumbea;5;Globicephala macrorhynchus, Grampus griseus, Kogia breviceps, Kogia sima, Megaptera novaeangliae, Mesoplodon densirostris, Peponocephala electra, Pseudorca crassidens, Stenella attenuata, Stenella longirostris, Tursiops aduncus, Tursiops truncatus, ...;13;Western Indian Ocean and Arabian Seas;WIOCAS;Bassas da India, Ile Europa, Madagascar;ATF, ATF, MDG;157800;4;2019;12;2019;12;2019;https://www.marinemammalhabitat.org/portfolio-item/south-west-madagascar-mozambique-channel/
IMMA;South West to Eastern Sri Lanka IMMA;22NIOSEA181919IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C1, C2, D2;Balaenoptera musculus, Physeter macrocephalus, Stenella longirostris;3;Balaenoptera edeni, Balaenoptera omurai, Stenella attenuata, Stenella coeruleoalba, Tursiops truncatus, Steno bredanensis, Lagenodelphis hosei, Grampus griseus, Globicephala macrorhynchus, Peponocephala electra, ...;15;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Sri Lanka;LKA;28699;3;2018;1;2019;1;2019;https://www.marinemammalhabitat.org/portfolio-item/southwest-east-sri-lanka/
IMMA;South Western Patagonian Continental Shelf IMMA;29SWATLO222323IMMA;Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;C2, D1;Mirounga leonina;1;NULL;;South West Atlantic Ocean;SWATLO;Argentina, Falkland Islands (Malvinas);ARG, FLK;61999;12;2022;7;2023;7;2023;https://www.marinemammalhabitat.org/portfolio-item/south-western-patagonian-continental-shelf-imma
IMMA;Southeastern Australia and Tasmanian Shelf Waters IMMA;27ANSEIO202020IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B1, B2, C1, C2, C3, D2;Balaenoptera musculus, Arctocephalus forsteri, Arctocephalus pusillus, Eubalaena australis, Megaptera novaeangliae;5;Delphinus delphis, Tursiops truncatus, Tursiops aduncus, Arctocephalus tropicalis, Orcinus orca, Globicephala melas, Mirounga leonina, Caperea marginata, Physeter macrocephalus, Mesoplodon layardii, Mesoplodon grayi, Ziphius cavirostris;12;Australia, New Zealand and Southest Indian Ocean;ANSEIO;Australia;AUS;237283;2;2020;7;2020;7;2020;https://www.marinemammalhabitat.org/portfolio-item/southeastern-australian-tasmanian-shelf-waters/
IMMA;Southern Andaman Islands IMMA;23NIOSEA181919IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, C1, C2, D2;Dugong dugon, Tursiops aduncus;2;Stenella longirostris, Stenella attenuata, Stenella coeruleoalba, Lagenodelphis hosei, Grampus griseus, Orcinus orca, Pseudorca crassidens, Peponocephala electra, Globicephala macrorhynchus, Indopacetus pacificus, ...;14;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Andaman and Nicobar;IND;14441;3;2018;1;2019;1;2019;https://www.marinemammalhabitat.org/portfolio-item/southern-andaman-islands/
IMMA;Southern Australian Coastal and Shelf Region IMMA;26ANSEIO20222IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C1, C2, C3, D1, D2;Neophoca cinerea, Arctocephalus forsteri, Eubalaena australis, Balaenoptera musculus, Arctocephalus pusillus;5;Megaptera novaeangliae, Balaenoptera borealis, Tursiops aduncus, Tursiops truncatus, Delphinus delphis, Tasmacetus shepherdi, Mesoplodon layardii, Orcinus orca, Caperea marginata, Mirounga leonina, Hydrurga leptonyx, Arctocephalus tropicalis;12;Australia, New Zealand and Southest Indian Ocean;ANSEIO;Austrialia;AUS;258364;2;2020;7;2020;11;2022;https://www.marinemammalhabitat.org/portfolio-item/southern-australian-coastal-and-shelf-region/
IMMA;Southern Bali Peninsula and Adjacent Slope IMMA;24NIOSEA181922IMMA;Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;C2, D2;Balaenoptera edeni, Stenella longirostris;2;Physeter macrocephalus, Balaenoptera musculus, Feresa attenuata, Globicephala macrorhynchus, Grampus griseus, Lagenodelphis hosei, Megaptera novaeangliae, Orcinus orca, Pseudorca crassidens, Stenella attenuata, Steno bredanensis, Tursiops truncatus;12;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Indonesia;IDN;2239;3;2018;1;2019;11;2022;https://www.marinemammalhabitat.org/portfolio-item/southern-bali-peninsula-slope/
IMMA;Southern Brazil and Uruguay Coastal Ecosystems IMMA;14SWATLO222323IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B1, B2, C1, C2, C3, D1;Tursiops truncatus gephyreus, Pontoporia blainvillei, Eubalaena australis, Otaria byronia, Arctocephalus australis;5;Tursiops truncatus truncatus, Sotalia guianensis;2;South West Atlantic Ocean;SWATLO;Brazil, Uruguay;BRA, URY;66550;12;2022;7;2023;7;2023;https://www.marinemammalhabitat.org/portfolio-item/southern-brazil-and-uruguay-coastal-ecosystems-imma
IMMA;Southern Coastal and Shelf Waters of South Africa IMMA;33WIOCAS191919IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;A, B1, C2;Sousa plumbea, Balaenoptera edeni, Tursiops aduncus, Delphinus delphis, Arctocephalus pusillus;5;Megaptera novaeangliae, Eubalaena australis, Orcinus orca;3;Western Indian Ocean and Arabian Seas;WIOCAS;South Africa;ZAF;166700;4;2019;12;2019;12;2019;https://www.marinemammalhabitat.org/portfolio-item/southern-coastal-shelf-waters-south-africa/
IMMA;Southern Egyptian Red Sea Bays, Offshore Reefs and Islands IMMA;34WIOCAS191919IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;A, B1, B2, C1;Dugong dugon, Sousa plumbea, Grampus griseus, Stenella longirostris, Tursiops aduncus, Tursiops truncatus;6;Balaenoptera edeni, Pseudorca crassidens;2;Western Indian Ocean and Arabian Seas;WIOCAS;Egypt, Sudan;EGY, SDN;22190;4;2019;12;2019;12;2019;https://www.marinemammalhabitat.org/portfolio-item/southern-egyptian-red-sea-bays-offshore-reefs-islands/
IMMA;Southern Great Barrier Reef Lagoon and Coast IMMA;28ANSEIO202020IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;B2, C1;Megaptera novaeangliae;1;Balaenoptera acutorostrata, Dugong dugon, Orcaella heinsohni, Sousa sahulensis, Stenella longirostris, Pseudorca crassidens, Tursiops truncatus, Tursiops aduncus;8;Australia, New Zealand and Southest Indian Ocean;ANSEIO;Australia;AUS;84807;2;2020;7;2020;7;2020;https://www.marinemammalhabitat.org/portfolio-item/southern-great-barrier-reef-lagoon-coast/
IMMA;Southern Gulf and Coastal Waters IMMA;35WIOCAS191919IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;A, B2, C1, C2;Sousa plumbea, Neophocaena phocaenoides, Dugong dugon, Tursiops aduncus;4;Megaptera novaeangliae, Balaenoptera edeni, Kogia sima, Orcinus orca;4;Western Indian Ocean and Arabian Seas;WIOCAS;Qatar, Saudi Arabia, United Arab Emirates;QAT, SAU, ARE;30240;4;2019;12;2019;12;2019;https://www.marinemammalhabitat.org/portfolio-item/southern-gulf-coastal-waters/
IMMA;Southern Gulf of Carpentaria IMMA;29ANSEIO202020IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities;A, C1, C2;Dugong dugon, Orcaella heinsohni;2;Pseudorca crassidens, Sousa sahulensis, Stenella longirostris, Tursiops aduncus;4;Australia, New Zealand and Southest Indian Ocean;ANSEIO;Australia;AUS;49955;2;2020;7;2020;7;2020;https://www.marinemammalhabitat.org/portfolio-item/southern-gulf-carpentaria/
